year,month,day,hour,총생활인구수
2017,1,1,0,43922.2281
2017,1,1,1,43763.4929
2017,1,1,2,43561.5708
2017,1,1,3,43928.9929
2017,1,1,4,44150.2973
2017,1,1,5,44547.9317
2017,1,1,6,45348.3932
2017,1,1,7,45178.6128
2017,1,1,8,45455.4749
2017,1,1,9,44661.6897
2017,1,1,10,44513.9113
2017,1,1,11,44255.6104
2017,1,1,12,44359.652
2017,1,1,13,44119.7113
2017,1,1,14,43243.8835
2017,1,1,15,43498.6188
2017,1,1,16,43685.3524
2017,1,1,17,43433.434
2017,1,1,18,43708.376
2017,1,1,19,43819.0265
2017,1,1,20,44407.7706
2017,1,1,21,45155.5233
2017,1,1,22,45558.9485
2017,1,1,23,46412.9566
2017,1,2,0,46765.7221
2017,1,2,1,46885.2286
2017,1,2,2,46755.7973
2017,1,2,3,46884.477
2017,1,2,4,47254.1762
2017,1,2,5,47367.6296
2017,1,2,6,47407.3461
2017,1,2,7,46769.2059
2017,1,2,8,43585.4447
2017,1,2,9,42301.5631
2017,1,2,10,41179.432
2017,1,2,11,40516.6722
2017,1,2,12,39917.0812
2017,1,2,13,40008.9554
2017,1,2,14,39078.9738
2017,1,2,15,38425.9296
2017,1,2,16,39488.8975
2017,1,2,17,39057.3079
2017,1,2,18,40374.213
2017,1,2,19,41324.4436
2017,1,2,20,42835.2063
2017,1,2,21,44342.8644
2017,1,2,22,45370.0579
2017,1,2,23,46597.8178
2017,1,3,0,46717.8662
2017,1,3,1,46782.8296
2017,1,3,2,46940.8018
2017,1,3,3,46964.5325
2017,1,3,4,47439.9548
2017,1,3,5,47508.1101
2017,1,3,6,47495.3731
2017,1,3,7,46888.6301
2017,1,3,8,43958.2713
2017,1,3,9,42528.9485
2017,1,3,10,42253.7884
2017,1,3,11,40852.4952
2017,1,3,12,40704.1184
2017,1,3,13,39856.3959
2017,1,3,14,39434.3024
2017,1,3,15,38926.1639
2017,1,3,16,39749.9063
2017,1,3,17,39747.6968
2017,1,3,18,39968.4063
2017,1,3,19,41101.0666
2017,1,3,20,42339.1574
2017,1,3,21,44089.8865
2017,1,3,22,45123.3836
2017,1,3,23,46543.3428
2017,1,4,0,47086.7516
2017,1,4,1,47211.0277
2017,1,4,2,47495.5697
2017,1,4,3,47627.5846
2017,1,4,4,47753.3066
2017,1,4,5,47852.6187
2017,1,4,6,48058.8324
2017,1,4,7,46909.1183
2017,1,4,8,44045.5501
